web_name,position,team_name,now_cost,total_points,points_per_game,form,selected_by_percent,value_per_million,score
Ji-soo,Defender,Brentford,40,3,1.0,0.0,0.3,0.075,1.07765
Irving,Midfielder,West Ham,45,9,0.9,0.0,0.3,0.2,1.05805
Collyer,Midfielder,Man Utd,45,6,1.0,0.0,0.2,0.13333333333333333,1.0387
Obi,Forward,Man Utd,45,7,1.0,0.0,5.3,0.15555555555555556,1.0363333333333333
Targett,Defender,Newcastle,40,2,1.0,0.0,0.5,0.05,0.9835
Cherki,Midfielder,Man City,65,0,0.0,0.0,9.7,0.0,0.97
Chiesa,Midfielder,Liverpool,65,7,1.2,0.0,0.1,0.1076923076923077,0.9413038461538461
Reed,Midfielder,Fulham,45,10,0.8,0.0,0.3,0.2222222222222222,0.9383333333333334
Henry,Defender,Brentford,45,4,0.8,0.0,0.2,0.08888888888888889,0.9280333333333334
Thiago,Forward,Brentford,60,9,1.1,0.0,0.9,0.15,0.87585
Maghoma,Midfielder,Brentford,45,8,1.0,0.0,0.1,0.17777777777777778,0.7822666666666668
Buendía,Midfielder,Aston Villa,55,11,0.9,0.0,0.1,0.2,0.74445
King,Goalkeeper,Wolves,40,1,1.0,0.0,3.1,0.025,0.7088
Rodrigo,Midfielder,Man City,65,3,1.0,0.0,1.6,0.046153846153846156,0.6705230769230771
Pond,Defender,Wolves,40,1,1.0,0.0,2.2,0.025,0.6638
Vitor Reis,Defender,Man City,50,1,1.0,0.0,0.1,0.02,0.65805
Marc Guiu,Forward,Chelsea,45,3,1.0,0.0,4.1,0.06666666666666667,0.6385500000000001
Orford,Midfielder,West Ham,45,2,1.0,0.0,0.2,0.044444444444444446,0.6290166666666667
Casey,Defender,West Ham,40,1,1.0,0.0,0.8,0.025,0.5938
Meghoma,Defender,Brentford,40,1,1.0,0.0,0.2,0.025,0.56395
Estève,Defender,Burnley,40,0,0.0,0.0,10.7,0.0,0.535
Godo,Midfielder,Fulham,45,2,1.0,0.0,0.1,0.044444444444444446,0.5177166666666667
Reijnders,Midfielder,Man City,55,0,0.0,0.0,5.0,0.0,0.5
Y.Chermiti,Forward,Everton,50,3,0.8,0.0,0.2,0.06,0.4811000000000001
De Cuyper,Defender,Brighton,45,0,0.0,0.0,9.0,0.0,0.45
Reinildo,Defender,Sunderland,40,0,0.0,0.0,8.5,0.0,0.42500000000000004
Armstrong,Midfielder,Everton,45,2,0.7,0.0,0.4,0.044444444444444446,0.40901666666666675
Malacia,Defender,Man Utd,40,2,0.7,0.0,0.4,0.05,0.40745000000000003
Darlow,Goalkeeper,Leeds,40,0,0.0,0.0,7.9,0.0,0.395
Bobb,Midfielder,Man City,55,3,1.0,0.0,0.1,0.05454545454545454,0.3788818181818182
Konak,Midfielder,Brentford,45,10,1.0,0.0,0.2,0.2222222222222222,0.37598333333333334
Kporha,Defender,Crystal Palace,40,2,1.0,0.0,0.2,0.05,0.36805000000000004
Agbinone,Midfielder,Crystal Palace,45,2,1.0,0.0,0.1,0.044444444444444446,0.3668666666666667
Nunes,Midfielder,Brentford,50,3,1.0,0.0,0.1,0.06,0.33955
Cornet,Midfielder,West Ham,50,1,0.5,0.0,0.1,0.02,0.33655000000000007
Da Silva Moreira,Midfielder,Nott'm Forest,45,2,1.0,0.0,0.2,0.044444444444444446,0.2880666666666667
Silcott-Duberry,Midfielder,Bournemouth,45,1,1.0,0.0,0.4,0.022222222222222223,0.2733833333333333
Winterburn,Midfielder,Bournemouth,45,4,1.0,0.0,0.1,0.08888888888888889,0.26443333333333335
Barnes,Forward,Burnley,45,0,0.0,0.0,5.0,0.0,0.25
Petrović,Goalkeeper,Bournemouth,45,0,0.0,0.0,5.0,0.0,0.25
Trevitt,Midfielder,Brentford,45,1,1.0,0.0,0.1,0.022222222222222223,0.24348333333333336
Echeverri,Midfielder,Man City,55,1,1.0,0.0,0.1,0.01818181818181818,0.24297727272727274
Ekitiké,Forward,Liverpool,85,0,0.0,0.0,4.7,0.0,0.23500000000000001
Lankshear,Forward,Spurs,45,3,1.0,0.0,0.4,0.06666666666666667,0.23050000000000004
Sarmiento,Midfielder,Brighton,50,1,1.0,0.0,0.1,0.02,0.22340000000000004
Onyeka,Midfielder,Brentford,50,2,1.0,0.0,0.1,0.04,0.21715000000000004
Danns,Forward,Liverpool,45,1,1.0,0.0,0.2,0.022222222222222223,0.21383333333333335
Trafford,Goalkeeper,Man City,50,0,0.0,0.0,3.8,0.0,0.19
Xhaka,Midfielder,Sunderland,50,0,0.0,0.0,1.7,0.0,0.17
Zubimendi,Midfielder,Arsenal,55,0,0.0,0.0,1.7,0.0,0.17
Piroe,Forward,Leeds,55,0,0.0,0.0,3.4,0.0,0.17
Bamford,Forward,Leeds,50,0,0.0,0.0,3.2,0.0,0.16000000000000003
Fraser,Forward,Wolves,45,0,0.0,0.0,2.7,0.0,0.135
E.Le Fée,Midfielder,Sunderland,50,0,0.0,0.0,1.3,0.0,0.13
Gonzalez,Midfielder,Wolves,45,0,0.0,0.0,1.3,0.0,0.13
Vuskovic,Defender,Spurs,40,0,0.0,0.0,2.5,0.0,0.125
Hoever,Defender,Wolves,40,0,0.0,0.0,2.3,0.0,0.11499999999999999
J.Arias,Midfielder,Wolves,55,0,0.0,0.0,1.0,0.0,0.1
Gudmundsson,Defender,Leeds,40,0,0.0,0.0,2.0,0.0,0.1
Rodon,Defender,Leeds,40,0,0.0,0.0,1.9,0.0,0.095
James,Midfielder,Leeds,55,0,0.0,0.0,0.9,0.0,0.09000000000000001
Kroupi.Jr,Forward,Bournemouth,45,0,0.0,0.0,1.6,0.0,0.08000000000000002
Truffert,Defender,Bournemouth,45,0,0.0,0.0,1.5,0.0,0.07500000000000001
Gnonto,Midfielder,Leeds,55,0,0.0,0.0,0.7,0.0,0.06999999999999999
Potts,Midfielder,West Ham,45,0,0.0,0.0,0.7,0.0,0.06999999999999999
Turner,Goalkeeper,Nott'm Forest,40,0,0.0,0.0,1.4,0.0,0.06999999999999999
Igor Jesus,Forward,Nott'm Forest,60,0,0.0,0.0,1.3,0.0,0.065
Barry,Forward,Everton,60,0,0.0,0.0,1.3,0.0,0.065
Young,Midfielder,Aston Villa,45,0,0.0,0.0,0.6,0.0,0.06
Meslier,Goalkeeper,Leeds,45,0,0.0,0.0,1.2,0.0,0.06
Abdullahi,Forward,Sunderland,45,0,0.0,0.0,1.2,0.0,0.06
Estêvão,Midfielder,Chelsea,65,0,0.0,0.0,0.5,0.0,0.05
Foderingham,Goalkeeper,West Ham,40,0,0.0,0.0,1.0,0.0,0.05
Gauci,Goalkeeper,Aston Villa,40,0,0.0,0.0,1.0,0.0,0.05
